Title,Release_Page_URL,PDF_URL,Local_PDF,Annex_Page,OCR_Text_SHA256,OCR_Characters,Extraction_Status,Error
Maximum retail petroleum prices in Kenya for the period 15th June - 14th July 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-june-14th-july-2025,https://www.epra.go.ke/sites/default/files/2025-06/PRESS%20RELEASE-%20JUNE%20SIGNED%202025.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-june-14th-j-f41b235e67.pdf,12,ace8111a199dfc315e67f44595d8948236f7b1baaade476ebddacb3c9288293c,1633,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th June 2026 – 14th July 2026,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-june-2026-14th-july-2026,https://www.epra.go.ke/sites/default/files/2026-06/SIGNED%20PRESS%20RELEASE%20-%20JUNE%20-%20JULY%20CYCLE%202026.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-june-2026-1-0bd51a36f1.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th March – 14th April 2026,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-march-14th-april-2026,https://www.epra.go.ke/sites/default/files/2026-03/PRESS%20RELEASE%2014TH%20MARCH%202026.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-march-14th--63256068f6.pdf,11,db262095bd4173b4a09c31c0186058dba24a29f3dca5f9077ae04a70de9910fe,1605,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th May - 14th June 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-may-14th-june-2025,https://www.epra.go.ke/sites/default/files/2025-06/PRESS%20RELEASE%20MAY%2015TH-JUNE%2014TH%202025.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-may-14th-ju-0ec6244f74.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th May 2026 – 14th June 2026,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-may-2026-14th-june-2026,https://www.epra.go.ke/sites/default/files/2026-05/Maximum%20Retail%20Petroleum%20Prices%20for%20the%20Period%2015th%20May%202026%20to%2014th%20June%202026.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-may-2026-14-64b1757620.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2024,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-november-14th-december-2024,https://www.epra.go.ke/sites/default/files/2024-11/EPRA%20PRESS%20RELEASE-%20NOVEMBER%202024_1.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-november-to-87e98fede5.pdf,11,2541f8b30fdd474c361ad2e5ef66f218a81e6a0f9938781ad2835497be951379,1696,OCR complete,
Maximum retail petroleum prices in Kenya for the period 15th November to 14th December 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-november-14th-december-2025,https://www.epra.go.ke/sites/default/files/2025-11/Press%20release-%20Maximum%20retail%20petroleum%20prices%20in%20Kenya%20for%20the%20period%2015th%20November%202025%20to%2014th%20December%202025.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-november-to-022be48452.pdf,12,2fa0878d7720e027ed44bb73339ceb81dcee6da1265edd0182c33b7200c4d90b,24,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th October to November 14th 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-october-november-14th-2025,https://www.epra.go.ke/sites/default/files/2025-10/PRESS%20RELEASE-%20PETROLEUM%20PUMP%20PRICES%20-%2015TH%20OCTOBER%202025%20TO%2014TH%20NOVEMBER%202025.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-october-to--bf52567dfd.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Maximum retail petroleum prices in Kenya for the period 15th September to 14th October 2025,https://www.epra.go.ke/maximum-retail-petroleum-prices-kenya-period-15th-september-14th-october-2025,https://www.epra.go.ke/sites/default/files/2025-09/Signed%20Pump%20Price%20Press%20Release%20September%20to%20October%202025%20cycle.pdf,tmp\epra_component_pdfs\maximum-retail-petroleum-prices-in-kenya-for-the-period-15th-september-t-3e0897712f.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
Pump Prices 15th September - 14th October 2024,https://www.epra.go.ke/pump-prices-15th-september-14th-october-2024,https://www.epra.go.ke/sites/default/files/2024-09/SEPTEMBER%2015TH%20-%2014TH%20OCTOBER%202024%20PUMP%20PRICES.pdf,tmp\epra_component_pdfs\pump-prices-15th-september-14th-october-2024-366bfcc54b.pdf,12,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0,Manual review required,
